# Amplitude-Frequency characteristics, U0 = 0.2 V, capacitor 1
frequency (kHz), voltage (V)
49.4, 1.957
49.6, 2.108
49.8, 2.282
50.0, 2.484
50.2, 2.718
50.4, 2.993
50.6, 3.313
50.8, 3.685
51.0, 4.105
51.2, 4.557
51.4, 4.994
51.6, 5.341
51.8, 5.512
52.0, 5.470
52.2, 5.242
52.4, 4.903
52.6, 4.517
52.8, 4.134
53.0, 3.768
53.2, 3.441
53.4, 3.151
53.6, 2.897
53.8, 2.674
54.0, 2.478
54.2, 2.307
54.4, 2.155
54.6, 2.020
54.8, 1.901
